"STRING_id","Degree","hgnc_symbol","group"
"9606.ENSP00000003084",0.0692307692307692,"CFTR","snv"
"9606.ENSP00000003084",0.0692307692307692,"CFTR","fs"
"9606.ENSP00000070846",0.0423076923076923,"PKP2","snv_control"
"9606.ENSP00000070846",0.0423076923076923,"PKP2","fs_control"
"9606.ENSP00000053867",0.0259615384615385,"GRN","snv_control"
"9606.ENSP00000053867",0.0259615384615385,"GRN","fs_control"
"9606.ENSP00000160382",0.0317307692307692,"ACTL6B","snv_control"
"9606.ENSP00000160382",0.0317307692307692,"ACTL6B","fs_control"
"9606.ENSP00000005257",0.0201923076923077,"RALA","snv_control"
"9606.ENSP00000005257",0.0201923076923077,"RALA","fs_control"
"9606.ENSP00000211998",0.0673076923076923,"VCL","snv_control"
"9606.ENSP00000211998",0.0673076923076923,"VCL","fs_control"
"9606.ENSP00000162749",0.0384615384615385,"TNFRSF1A","snv_control"
"9606.ENSP00000008527",0.0163461538461538,"CRY1","snv_control"
"9606.ENSP00000216297",0.0423076923076923,"SUPT16H","snv_control"
"9606.ENSP00000216297",0.0423076923076923,"SUPT16H","fs_control"
"9606.ENSP00000216797",0.0692307692307692,"NFKBIA","snv_control"
"9606.ENSP00000078429",0.0548076923076923,"GNA11","snv_control"
"9606.ENSP00000155840",0.0557692307692308,"KCNQ1","snv"
"9606.ENSP00000215855",0.00865384615384615,"CRYBB3","snv_control"
"9606.ENSP00000222139",0.0346153846153846,"EPOR","fs_control"
"9606.ENSP00000221930",0.0769230769230769,"TGFB1","snv_control"
"9606.ENSP00000221930",0.0769230769230769,"TGFB1","fs_control"
"9606.ENSP00000181839",0.0105769230769231,"CDK13","snv_control"
"9606.ENSP00000181839",0.0105769230769231,"CDK13","fs_control"
"9606.ENSP00000206513",0.0105769230769231,"CEBPE","fs_control"
"9606.ENSP00000221973",0.0115384615384615,"LIM2","snv_control"
"9606.ENSP00000216254",0.0201923076923077,"ACO2","snv_control"
"9606.ENSP00000061240",0.0125,"TLL1","snv_control"
"9606.ENSP00000222271",0.0182692307692308,"COMP","snv_control"
"9606.ENSP00000167586",0.0298076923076923,"KRT14","snv_control"
"9606.ENSP00000223366",0.0230769230769231,"GCK","snv"
"9606.ENSP00000223366",0.0230769230769231,"GCK","fs"
"9606.ENSP00000216181",0.0432692307692308,"MYH9","snv"
"9606.ENSP00000216181",0.0432692307692308,"MYH9","fs"
"9606.ENSP00000220592",0.0480769230769231,"AGO2","snv"
"9606.ENSP00000228872",0.0451923076923077,"CDKN1B","snv"
"9606.ENSP00000224140",0.0365384615384615,"SETX","fs"
"9606.ENSP00000224140",0.0365384615384615,"SETX","snv_control"
"9606.ENSP00000193391",0.0240384615384615,"IMPG2","snv_control"
"9606.ENSP00000193391",0.0240384615384615,"IMPG2","fs_control"
"9606.ENSP00000230361",0.025,"GUCA1B","snv_control"
"9606.ENSP00000225964",0.0673076923076923,"COL1A1","snv"
"9606.ENSP00000078445",0.0125,"CREB3L3","snv_control"
"9606.ENSP00000078445",0.0125,"CREB3L3","fs_control"
"9606.ENSP00000226574",0.0490384615384615,"NFKB1","snv_control"
"9606.ENSP00000226574",0.0490384615384615,"NFKB1","fs_control"
"9606.ENSP00000215727",0.0173076923076923,"SERPIND1","snv_control"
"9606.ENSP00000223642",0.0125,"C5","snv_control"
"9606.ENSP00000223642",0.0125,"C5","fs_control"
"9606.ENSP00000222254",0.0461538461538462,"PIK3R2","snv_control"
"9606.ENSP00000230056",0.0211538461538462,"GMNN","snv_control"
"9606.ENSP00000230056",0.0211538461538462,"GMNN","fs_control"
"9606.ENSP00000230381",0.0307692307692308,"PRPH2","snv"
"9606.ENSP00000230381",0.0307692307692308,"PRPH2","fs"
"9606.ENSP00000231790",0.0586538461538462,"MLH1","snv"
"9606.ENSP00000231790",0.0586538461538462,"MLH1","fs"
"9606.ENSP00000200676",0.0125,"CETP","snv_control"
"9606.ENSP00000200676",0.0125,"CETP","fs_control"
"9606.ENSP00000225275",0.0298076923076923,"MPO","fs_control"
"9606.ENSP00000232003",0.0163461538461538,"HRG","snv_control"
"9606.ENSP00000233146",0.0519230769230769,"MSH2","snv"
"9606.ENSP00000230124",0.025,"FIG4","snv_control"
"9606.ENSP00000230124",0.025,"FIG4","fs_control"
"9606.ENSP00000233242",0.0480769230769231,"APOB","fs"
"9606.ENSP00000217244",0.0413461538461538,"CSNK2A1","snv_control"
"9606.ENSP00000217244",0.0413461538461538,"CSNK2A1","fs_control"
"9606.ENSP00000231004",0.0625,"LOX","snv_control"
"9606.ENSP00000231004",0.0625,"LOX","fs_control"
"9606.ENSP00000237014",0.0221153846153846,"TTR","snv_control"
"9606.ENSP00000228841",0.0519230769230769,"MYL2","snv_control"
"9606.ENSP00000228841",0.0519230769230769,"MYL2","fs_control"
"9606.ENSP00000217086",0.0384615384615385,"SALL4","snv_control"
"9606.ENSP00000241014",0.0153846153846154,"MAPK8IP1","snv_control"
"9606.ENSP00000228347",0.0163461538461538,"POLR3B","snv_control"
"9606.ENSP00000228347",0.0163461538461538,"POLR3B","fs_control"
"9606.ENSP00000229195",0.0125,"CNOT2","snv_control"
"9606.ENSP00000229195",0.0125,"CNOT2","fs_control"
"9606.ENSP00000239891",0.00576923076923077,"ALG5","snv_control"
"9606.ENSP00000237596",0.0211538461538462,"PKD2","snv_control"
"9606.ENSP00000222718",0.0125,"HOXA2","snv_control"
"9606.ENSP00000222718",0.0125,"HOXA2","fs_control"
"9606.ENSP00000231509",0.0586538461538462,"NR3C1","snv_control"
"9606.ENSP00000231509",0.0586538461538462,"NR3C1","fs_control"
"9606.ENSP00000238682",0.0615384615384615,"TGFB3","snv"
"9606.ENSP00000239926",0.0269230769230769,"MYOT","snv_control"
"9606.ENSP00000243077",0.0317307692307692,"LRP1","snv_control"
"9606.ENSP00000173229",0.0182692307692308,"NTN1","snv_control"
"9606.ENSP00000216373",0.0230769230769231,"SOS2","snv_control"
"9606.ENSP00000232564",0.0403846153846154,"GNB4","snv_control"
"9606.ENSP00000226247",0.00769230769230769,"FOXN1","fs"
"9606.ENSP00000226247",0.00769230769230769,"FOXN1","snv_control"
"9606.ENSP00000234420",0.0461538461538462,"MSH6","snv"
"9606.ENSP00000234420",0.0461538461538462,"MSH6","fs"
"9606.ENSP00000244537",0.0740384615384615,"H4C11","snv_control"
"9606.ENSP00000160827",0.0144230769230769,"KIF22","snv_control"
"9606.ENSP00000245907",0.0298076923076923,"C3","snv_control"
"9606.ENSP00000245907",0.0298076923076923,"C3","fs_control"
"9606.ENSP00000235329",0.0384615384615385,"MFN2","snv"
"9606.ENSP00000235329",0.0384615384615385,"MFN2","fs_control"
"9606.ENSP00000245479",0.104807692307692,"SOX9","snv"
"9606.ENSP00000245479",0.104807692307692,"SOX9","fs"
"9606.ENSP00000202625",0.00961538461538462,"TGM6","snv_control"
"9606.ENSP00000244769",0.0211538461538462,"ATXN1","snv_control"
"9606.ENSP00000240185",0.0394230769230769,"TARDBP","snv_control"
"9606.ENSP00000252321",0.0423076923076923,"KCNA5","snv_control"
"9606.ENSP00000240851",0.0163461538461538,"TFG","snv_control"
"9606.ENSP00000248437",0.0326923076923077,"TUBA4A","snv_control"
"9606.ENSP00000252996",0.0192307692307692,"TAF4","snv_control"
"9606.ENSP00000254108",0.0548076923076923,"FUS","snv"
"9606.ENSP00000254108",0.0548076923076923,"FUS","fs"
"9606.ENSP00000233826",0.0105769230769231,"KCNJ13","snv_control"
"9606.ENSP00000249749",0.0307692307692308,"DLL4","snv_control"
"9606.ENSP00000249749",0.0307692307692308,"DLL4","fs_control"
"9606.ENSP00000249071",0.0528846153846154,"RAC2","snv_control"
"9606.ENSP00000252242",0.0355769230769231,"KRT5","fs_control"
