hgnc_symbol,pLI,oe_lof_upper,group,pli_cat,loeuf_cat
RILPL1,0.38572,0.47,snv_control,Medium,Medium
RIT1,0.13281,0.645,snv_control,Low,High
RLBP1,1.1303e-5,1.08,snv_control,Low,High
RLBP1,1.1303e-5,1.08,fs_control,Low,High
RNASEL,1.9513e-10,1.133,snv_control,Low,High
RNF170,0.51091,0.52,snv_control,Medium,Medium
RNF213,4.9077999999999994e-55,0.656,snv_control,Low,High
ROBO4,2.942e-15,0.909,fs_control,Low,High
ROBO4,2.942e-15,0.909,snv_control,Low,High
ROM1,4.1221e-4,1.099,snv_control,Low,High
ROR2,1.2401e-4,0.558,snv,Low,Medium
RORA,0.40096,0.404,snv,Medium,Medium
RORA,0.40096,0.404,fs_control,Medium,Medium
RORB,0.99991,0.112,snv_control,High,Low
RP1,4.415e-13,0.704,snv,Low,High
RP1,4.415e-13,0.704,fs,Low,High
RP1L1,1.8205e-10,1.954,snv,Low,High
RP9,0.018956,0.803,snv_control,Low,High
RPE65,6.4889e-14,1.111,snv,Low,High
RPL15,0.97146,0.272,snv_control,High,Medium
RPL5,0.99776,0.167,snv_control,High,Low
RPS24,0.68141,0.591,snv_control,High,Medium
RPSA,0.93037,0.368,snv_control,High,Medium
RRAGD,0.81991,0.436,snv_control,High,Medium
RRM2B,0.002357,0.699,snv_control,Low,High
RTN2,0.41643,0.417,fs_control,Medium,Medium
RYR2,0.99999,0.25,snv_control,High,Medium
RYR2,0.99999,0.25,fs_control,High,Medium
SALL1,0.99971,0.196,snv,High,Low
SALL4,0.99997,0.101,snv_control,High,Low
SAMD9,1.0520999999999999e-33,1.243,snv_control,Low,High
SAMD9L,5.5651e-15,0.783,snv_control,Low,High
SATB1,0.99051,0.293,snv,High,Medium
SCAF4,1,0.106,fs_control,High,Low
SCAF4,1,0.106,snv_control,High,Low
SCN10A,9.945699999999999e-38,1.014,snv_control,Low,High
SCN1B,0.10186,1.265,snv_control,Low,High
SCN1B,0.10186,1.265,fs_control,Low,High
SCN3A,1,0.174,snv_control,High,Low
SCN4A,0.01294,0.378,fs,Low,Medium
SCN4A,0.01294,0.378,snv_control,Low,Medium
SCN4B,6.4529e-7,1.784,snv_control,Low,High
SCN5A,0.91291,0.308,snv,High,Medium
SCN5A,0.91291,0.308,fs,High,Medium
SCNN1A,1.0835e-11,0.912,snv_control,Low,High
SCNN1A,1.0835e-11,0.912,fs_control,Low,High
SCNN1B,5.7545e-8,0.798,snv,Low,High
SCNN1G,0.48199,0.408,fs_control,Medium,Medium
SDHA,2.6088e-10,0.859,snv_control,Low,High
SEC23A,1.0698e-11,0.741,snv_control,Low,High
SEC61A1,0.98675,0.295,snv_control,High,Medium
SEC63,2.0818e-7,0.57,snv_control,Low,Medium
SEMA3A,0.9779,0.307,snv_control,High,Medium
SEMA6B,0.06227,0.462,snv,Low,Medium
SEMA6B,0.06227,0.462,fs,Low,Medium
SERPINC1,0.99892,0.151,snv,High,Low
SERPIND1,2.5137e-10,1.497,snv_control,Low,High
SERPING1,0.96351,0.322,snv,High,Medium
SERPING1,0.96351,0.322,fs,High,Medium
SET,0.99597,0.183,fs_control,High,Low
SET,0.99597,0.183,snv_control,High,Low
SETD1A,1,0.136,fs_control,High,Low
SETD1A,1,0.136,snv_control,High,Low
SETX,0.95483,0.296,fs,High,Medium
SETX,0.95483,0.296,snv_control,High,Medium
SF3B2,0.99992,0.222,fs_control,High,Medium
SF3B2,0.99992,0.222,snv_control,High,Medium
SF3B4,0.99176,0.208,fs_control,High,Medium
SFTPA1,3.678e-4,1.45,snv_control,Low,High
SH3BP2,1.156e-11,1.135,snv_control,Low,High
SH3TC2,8.3409e-16,0.813,fs_control,Low,High
SH3TC2,8.3409e-16,0.813,snv,Low,High
SHH,0.98258,0.242,snv,High,Medium
SHOC2,0.99946,0.138,snv_control,High,Low
SIK1,0.93716,0.341,snv_control,High,Medium
SIK1,0.93716,0.341,fs_control,High,Medium
SIN3A,1,0.07,fs_control,High,Low
SIN3A,1,0.07,snv_control,High,Low
SIX3,0.94714,0.323,snv_control,High,Medium
SKI,0.99901,0.194,fs_control,High,Low
SKI,0.99901,0.194,snv_control,High,Low
SLC12A2,0.96153,0.31,fs_control,High,Medium
SLC12A2,0.96153,0.31,snv_control,High,Medium
SLC12A5,1,0.138,fs_control,High,Low
SLC12A5,1,0.138,snv_control,High,Low
SLC12A6,0.011377,0.395,snv,Low,Medium
SLC16A1,7.3565e-4,0.821,fs_control,Low,High
SLC17A8,0.0013196,0.608,snv_control,Low,High
SLC1A2,0.71036,0.424,snv_control,High,Medium
SLC1A2,0.71036,0.424,fs_control,High,Medium
SLC1A3,0.98914,0.281,snv_control,High,Medium
SLC25A11,0.53487,0.512,snv_control,Medium,Medium
SLC25A4,0.45334,0.636,fs_control,Medium,High
SLC26A8,4.2638e-12,0.835,snv_control,Low,High
SLC2A1,0.9941,0.241,snv,High,Medium
SLC2A2,3.4337e-8,0.923,snv_control,Low,High
SLC30A2,0.080883,0.615,snv_control,Low,High
SLC30A2,0.080883,0.615,fs_control,Low,High
SLC39A14,0.15001,0.554,snv_control,Low,Medium
SLC39A5,7.3793e-11,1.2,snv_control,Low,High
SLC39A5,7.3793e-11,1.2,fs_control,Low,High
SLC3A1,7.2168e-27,1.623,snv,Low,High
SLC40A1,0.98835,0.291,fs_control,High,Medium
SLC4A1,0.84602,0.349,snv,High,Medium
SLC4A3,1.227e-5,0.527,snv_control,Low,Medium
SLC52A1,3.5163e-6,1.506,snv_control,Low,High
SLC5A2,4.9184e-14,1.123,snv,Low,High
SLC6A1,0.99993,0.15,snv_control,High,Low
SLC6A5,8.977e-15,0.967,snv_control,Low,High
SLC6A5,8.977e-15,0.967,fs_control,Low,High
SLC7A9,9.0644e-10,1.121,snv_control,Low,High
SLCO2A1,2.2804e-13,1.053,snv,Low,High
SMAD2,0.99661,0.259,snv_control,High,Medium
SMAD3,0.79796,0.4,snv_control,High,Medium
SMARCA4,1,0.055,fs_control,High,Low
SMARCA4,1,0.055,snv_control,High,Low
SMARCC1,1,0.116,fs_control,High,Low
SMARCC1,1,0.116,snv_control,High,Low
SMARCD1,0.99947,0.206,snv,High,Medium
SMARCE1,0.99915,0.191,fs_control,High,Low
SMARCE1,0.99915,0.191,snv_control,High,Low
SMC3,1,0.037,fs_control,High,Low
SMC3,1,0.037,snv_control,High,Low
SNRNP200,1,0.082,fs_control,High,Low
SNRNP200,1,0.082,snv_control,High,Low
SNTA1,0.0056417,0.707,snv_control,Low,High
SOD1,0.1773,0.978,snv_control,Low,High
SON,1,0.118,fs_control,High,Low
SON,1,0.118,snv_control,High,Low
SOS1,1,0.14,snv_control,High,Low
SOS2,0.99955,0.256,snv_control,High,Medium
SOST,0.86731,0.453,fs_control,High,Medium
SOX10,0.99166,0.209,fs,High,Medium
SOX10,0.99166,0.209,snv,High,Medium
SOX5,0.99995,0.188,snv_control,High,Low
SOX9,0.99772,0.168,snv,High,Low
SOX9,0.99772,0.168,fs,High,Low
SPAST,0.99939,0.224,snv,High,Medium
SPECC1L,0.85887,0.332,snv_control,High,Medium
SPEN,1,0.071,snv_control,High,Low
SPINK1,0.31476,1.133,fs_control,Low,High
SPOP,0.99922,0.144,snv_control,High,Low
SPOP,0.99922,0.144,fs_control,High,Low
SPRED1,0.97246,0.319,snv,High,Medium
SPTAN1,1,0.101,fs_control,High,Low
SPTAN1,1,0.101,snv_control,High,Low
SPTBN1,1,0.088,snv_control,High,Low
SPTBN1,1,0.088,fs_control,High,Low
SPTLC1,4.1945e-11,0.978,snv_control,Low,High
SPTLC2,0.78035,0.39,snv_control,High,Medium
SREBF1,0.014708,0.45,fs_control,Low,Medium
SREBF1,0.014708,0.45,snv_control,Low,Medium
SRP54,0.99895,0.219,snv_control,High,Medium
SRRM2,1,0.118,snv_control,High,Low
SRRM2,1,0.118,fs_control,High,Low
SRSF1,0.98268,0.242,snv_control,High,Medium
STAG1,1,0.119,snv_control,High,Low
STAT1,0.99999,0.187,fs_control,High,Low
STAT1,0.99999,0.187,snv_control,High,Low
STAT3,1,0.095,snv_control,High,Low
STAT3,1,0.095,fs_control,High,Low
STAT5B,0.99988,0.22,snv_control,High,Medium
STAT5B,0.99988,0.22,fs_control,High,Medium
STAT6,0.98849,0.296,snv_control,High,Medium
STEAP3,5.3195e-9,1.344,snv_control,Low,High
STOX1,1.4404e-16,1.124,snv_control,Low,High
STT3A,0.002045,0.488,snv_control,Low,Medium
STX1B,0.98766,0.268,fs_control,High,Medium
STXBP1,1,0.086,snv,High,Low
SUFU,0.99992,0.111,snv_control,High,Low
SUPT16H,1,0.12,fs_control,High,Low
SUPT16H,1,0.12,snv_control,High,Low
SUZ12,0.99998,0.134,snv,High,Low
SYCP2,1,0.183,snv_control,High,Low
SYCP2,1,0.183,fs_control,High,Low
SYNE1,3.1898999999999998e-52,0.423,snv,Low,Medium
SYNE1,3.1898999999999998e-52,0.423,fs_control,Low,Medium
SYNE2,1.6503e-25,0.372,snv_control,Low,Medium
SYNE2,1.6503e-25,0.372,fs_control,Low,Medium
SYT1,0.60038,0.451,snv_control,Medium,Medium
SYT2,0.98133,0.287,snv_control,High,Medium
SYT2,0.98133,0.287,fs_control,High,Medium
TAB2,0.99998,0.098,fs_control,High,Low
TAB2,0.99998,0.098,snv_control,High,Low
TAF4,1,0.081,snv_control,High,Low
TAOK1,0.99787,0.274,snv,High,Medium
TARDBP,0.98542,0.275,snv_control,High,Medium
TBK1,0.075174,0.42,fs_control,Low,Medium
TBK1,0.075174,0.42,snv_control,Low,Medium
TBL1XR1,0.99995,0.106,snv_control,High,Low
TBL1XR1,0.99995,0.106,fs_control,High,Low
TBP,0.015031,0.619,fs_control,Low,High
TBR1,0.99901,0.194,fs,High,Low
TBX18,0.99905,0.193,snv_control,High,Low
TBX18,0.99905,0.193,fs_control,High,Low
TBX2,0.99329,0.246,snv_control,High,Medium
TBX3,0.98907,0.281,snv_control,High,Medium
TBX5,0.99954,0.135,snv,High,Low
TBX6,0.0068128,0.688,fs_control,Low,High
TCF12,0.67602,0.372,snv,High,Medium
TCF3,0.025824,0.498,fs_control,Low,Medium
TCF3,0.025824,0.498,snv_control,Low,Medium
TEAD1,0.9998,0.123,snv_control,High,Low
TEK,1,0.179,snv,High,Low
TEK,1,0.179,fs,High,Low
TERT,0.99046,0.293,snv_control,High,Medium
TET3,1,0.086,snv_control,High,Low
TFAP2A,0.98964,0.261,snv_control,High,Medium
TFAP2B,0.99023,0.259,snv_control,High,Medium
TFAP2B,0.99023,0.259,fs_control,High,Medium
TFG,0.14061,0.511,snv_control,Low,Medium
TGFB1,0.03685,0.614,fs_control,Low,High
TGFB1,0.03685,0.614,snv_control,Low,High
TGFB2,0.99905,0.148,snv,High,Low
TGFB3,0.98727,0.27,snv,High,Medium
TGFBR1,0.85379,0.383,snv_control,High,Medium
TGFBR2,0.12535,0.519,snv,Low,Medium
TGM6,1.1154e-24,1.367,snv_control,Low,High
THRA,0.32748,0.454,snv_control,Low,Medium
THSD1,5.5521e-8,0.883,snv_control,Low,High
TICAM1,NA,NA,snv_control,NA,NA
TIE1,1.2446000000000002e-19,0.885,snv_control,Low,High
TIMELESS,9.847599999999998e-35,0.977,snv_control,Low,High
TIMP3,0.63037,0.533,snv_control,Medium,Medium
TINF2,0.0012666,0.671,fs_control,Low,High
TLK2,1,0.114,fs_control,High,Low
TLK2,1,0.114,snv,High,Low
TLL1,0.17306,0.37,snv_control,Low,Medium
TLR3,1.6349e-7,0.801,snv_control,Low,High
TM4SF20,1.862e-4,1.634,snv_control,Low,High
TMC1,9.1808e-19,0.975,fs_control,Low,High
TMC1,9.1808e-19,0.975,snv_control,Low,High
TMEM106B,0.32576,0.604,snv_control,Low,High
TMEM127,0.012865,1.154,fs,Low,High
TMEM151A,0.0029247,0.943,snv_control,Low,High
TMEM43,1.1608e-12,1.276,snv_control,Low,High
TMEM43,1.1608e-12,1.276,fs_control,Low,High
TMEM63A,1.3865e-12,0.834,fs_control,Low,High
TMEM63A,1.3865e-12,0.834,snv_control,Low,High
TNFRSF11A,0.0087667,0.597,snv_control,Low,Medium
TNFRSF13B,2.0908e-15,1.958,snv_control,Low,High
TNFRSF1A,0.9949,0.236,snv_control,High,Medium
TNNI3,0.096284,0.692,fs_control,Low,High
TNNI3K,3.0654e-48,1.427,snv_control,Low,High
TNNT1,7.0202e-14,1.48,fs_control,Low,High
TNNT1,7.0202e-14,1.48,snv_control,Low,High
TNPO3,1.7546e-6,0.515,snv_control,Low,Medium
TNPO3,1.7546e-6,0.515,fs_control,Low,Medium
TOR1A,5.0557e-4,1.058,snv_control,Low,High
TP53,0.53235,0.469,snv,Medium,Medium
TP63,0.99728000000000006,0.267,snv,High,Medium
TPM1,0.0010165,0.783,snv_control,Low,High
TRAF3,0.99869,0.224,snv_control,High,Medium
TRAF7,0.021819,0.456,snv_control,Low,Medium
TRIM71,0.99969,0.172,fs_control,High,Low
TRIO,1,0.139,snv_control,High,Low
TRIO,1,0.139,fs_control,High,Low
TRPA1,7.230899999999999e-35,1.157,snv_control,Low,High
TRPC3,1.0806e-7,0.702,fs_control,Low,High
TRPC6,3.0274e-7,0.654,fs,Low,High
TRPC6,3.0274e-7,0.654,snv,Low,High
TRPM4,5.6531e-33,1.099,snv_control,Low,High
TRPS1,1,0.111,snv,High,Low
TRPS1,1,0.111,fs,High,Low
TRPV3,4.6013e-20,1.146,snv_control,Low,High
TRPV4,2.237e-16,1.057,snv_control,Low,High
TRRAP,1,0.06,fs_control,High,Low
TRRAP,1,0.06,snv_control,High,Low
TSC1,1,0.118,snv_control,High,Low
TSPAN12,0.69473,0.457,snv_control,High,Medium
TTC21B,2.704e-26,0.852,fs_control,Low,High
TTC21B,2.704e-26,0.852,snv_control,Low,High
TTR,0.51566,0.763,snv_control,Medium,High
TUBA1A,0.96654,0.317,snv_control,High,Medium
TUBA3D,7.2364e-10,1.565,snv_control,Low,High
TUBA4A,0.15983,0.62,snv_control,Low,High
TUBA8,3.5702e-5,1.095,snv_control,Low,High
TUBB2A,0.93478000000000006,0.363,snv_control,High,Medium
TUBB2B,0.9884,0.222,snv_control,High,Medium
TUBB6,1.6645e-4,1.041,snv_control,Low,High
TUBB8,0.017934,1.533,snv_control,Low,High
TUBG1,0.12882,0.517,snv_control,Low,Medium
TYR,4.9861e-32,1.964,snv,Low,High
UBA2,0.99851,0.241,fs_control,High,Medium
UBA2,0.99851,0.241,snv_control,High,Medium
UBAP1,0.91168,0.379,fs_control,High,Medium
UBAP1,0.91168,0.379,snv_control,High,Medium
UBIAD1,0.019529,1.026,snv_control,Low,High
UCHL1,0.99095,0.212,snv_control,High,Medium
UCHL1,0.99095,0.212,fs_control,High,Medium
UCP3,9.5517e-10,1.737,snv_control,Low,High
UNC119,1.4831e-4,1.327,snv_control,Low,High
UNC45B,2.9085e-15,0.909,snv_control,Low,High
USP48,1,0.161,snv_control,High,Low
USP7,1,0.061,snv_control,High,Low
USP7,1,0.061,fs_control,High,Low
VAMP2,0.88736,0.422,fs_control,High,Medium
VAMP2,0.88736,0.422,snv_control,High,Medium
VCAN,1,0.199,snv_control,High,Low
VCAN,1,0.199,fs_control,High,Low
VCL,0.046788,0.396,fs_control,Low,Medium
VCL,0.046788,0.396,snv_control,Low,Medium
VCP,0.99999,0.127,snv_control,High,Low
VCP,0.99999,0.127,fs_control,High,Low
VEGFC,0.49565,0.478,snv_control,Medium,Medium
VEZF1,0.99423,0.24,snv_control,High,Medium
VHL,0.079515,0.927,snv,Low,High
VHL,0.079515,0.927,fs,Low,High
VIM,0.71255,0.423,snv_control,High,Medium
VPS16,2.2652e-15,0.818,snv_control,Low,High
VPS16,2.2652e-15,0.818,fs_control,Low,High
VPS35,0.96921,0.313,snv_control,High,Medium
VPS4A,0.94474,0.347,snv_control,High,Medium
VSX1,0.035854,0.874,snv_control,Low,High
VWF,3.2187e-25,0.593,snv_control,Low,Medium
WAC,1,0.084,snv,High,Low
WBP11,0.99994,0.148,snv_control,High,Low
WDFY3,1,0.071,snv_control,High,Low
WDFY3,1,0.071,fs_control,High,Low
WDR11,1.3704e-8,0.532,snv_control,Low,Medium
WDR11,1.3704e-8,0.532,fs_control,Low,Medium
WDR26,1,0.085,fs_control,High,Low
WDR37,0.56642,0.412,snv_control,Medium,Medium
WFS1,1.6230999999999999e-38,1.93,snv,Low,High
WFS1,1.6230999999999999e-38,1.93,fs,Low,High
WNK1,1,0.126,fs_control,High,Low
WNK1,1,0.126,snv_control,High,Low
WNK4,6.8806000000000005e-25,1.049,fs_control,Low,High
WNK4,6.8806000000000005e-25,1.049,snv_control,Low,High
WNT10A,4.1667e-9,1.369,snv,Low,High
WT1,0.99648,0.247,snv,High,Medium
XPR1,0.99999,0.156,snv_control,High,Low
XRCC3,1.9134e-10,1.721,snv_control,Low,High
YAP1,0.99918,0.19,snv_control,High,Low
YAP1,0.99918,0.19,fs_control,High,Low
YEATS2,0.99639,0.28,snv_control,High,Medium
YY1,0.9938,0.198,snv,High,Low
ZCCHC8,0.96584,0.323,snv_control,High,Medium
ZEB2,1,0.107,snv,High,Low
ZFHX3,1,0.136,snv,High,Low
ZIC1,0.93378,0.364,snv,High,Medium
ZIC2,0.97362,0.267,snv_control,High,Medium
ZMYM2,0.66648,0.332,snv_control,High,Medium
ZMYM2,0.66648,0.332,fs_control,High,Medium
ZNF292,1,0.14,fs,High,Low
ZNF292,1,0.14,snv,High,Low
ZNF408,1.1792e-6,0.816,fs_control,Low,High
ZNF408,1.1792e-6,0.816,snv_control,Low,High
ZNF462,1,0.085,snv_control,High,Low
ZNF644,0.99914,0.253,snv_control,High,Medium
ZNF687,0.97101,0.319,snv_control,High,Medium
ZP3,2.8508e-4,0.952,fs_control,Low,High
